"filename", "language", "JavaScript", "JavaScript JSX", "JSON", "PostCSS", "SCSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeCtaData.json", "JSON", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeHeroData.json", "JSON", 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeReferencesData.json", "JSON", 0, 0, 30, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeServicesData.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeSliderData.json", "JSON", 0, 0, 19, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\homeWhyUsData.json", "JSON", 0, 0, 32, 0, 0, 0, 0, 0, 0, 1, 33
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\seoData.json", "JSON", 0, 0, 47, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\serviceDetailData.json", "JSON", 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\servicesData.json", "JSON", 0, 0, 77, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\servicesPageData.json", "JSON", 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\supportData.json", "JSON", 0, 0, 105, 0, 0, 0, 0, 0, 0, 1, 106
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\data\webDesignData.json", "JSON", 0, 0, 111, 0, 0, 0, 0, 0, 0, 1, 112
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\index.css", "PostCSS", 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\main.jsx", "JavaScript JSX", 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\About.jsx", "JavaScript JSX", 0, 152, 0, 0, 0, 0, 0, 0, 0, 21, 173
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\Contact.jsx", "JavaScript JSX", 0, 118, 0, 0, 0, 0, 0, 0, 0, 17, 135
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\Hardware.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 0, 0, 0, 0, 21, 176
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\Home.jsx", "JavaScript JSX", 0, 197, 0, 0, 0, 0, 0, 0, 0, 36, 233
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\NotFound.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\ServiceDetail.jsx", "JavaScript JSX", 0, 80, 0, 0, 0, 0, 0, 0, 0, 14, 94
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\Services.jsx", "JavaScript JSX", 0, 96, 0, 0, 0, 0, 0, 0, 0, 14, 110
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\Support.jsx", "JavaScript JSX", 0, 155, 0, 0, 0, 0, 0, 0, 0, 21, 176
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\pages\WebDesign.jsx", "JavaScript JSX", 0, 159, 0, 0, 0, 0, 0, 0, 0, 21, 180
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\router\AppRouter.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 0, 0, 13, 76
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\seo\config.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\src\seo\schema.js", "JavaScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 6, 83
"c:\Users\Fatih Atar\Desktop\Projects\evrenselsite\evrensel-react\vite.config.cjs", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"Total", "-", 141, 1993, 6886, 61, 3135, 9, 70, 36, 0, 855, 13186
